country,company
USA,SpaceX
USA,Jet Propulsion Laboratory
USA,Armstrong Flight Research Center
USA,Federal Aviation Administration
USA,NASA
USA,Starlink
USA,Kennedy Space Center
USA,SpaceNews
USA,Blue Origin
USA,United Launch Alliance
USA,Marshall Space Flight Center
USA,Virgin Galactic
USA,Rocket Lab
USA,Naked Science
USA,Space Research Center
UK,Meggitt PLC
UK,UK space agency
Italy,Italian Space Agency
Italy,Leonardo
Europe,European Space Agency ESA
Europe,Guiana Space Center
Europe,ClearSpace
France,Safran
Russia,Roscosmos
Japan,Japan Aerospace Exploration Agency
